Timestamp,Score,Time,Score/10s,Reflexes,Ball Speed
2023-11-22 21:36:20,0,180,12360,1,501875,30
2023-11-22 21:36:21,0,179,12770,1,502283,30
2023-11-22 21:36:22,0,178,12640,1,503667,30
2023-11-22 21:36:23,0,177,12610,1,503394,30
2023-11-22 21:36:24,0,176,11580,1,502181,30
2023-11-22 21:36:25,0,175,09420,1,457077,30
2023-11-22 21:36:26,0,174,0690,1,496799,30
2023-11-22 21:36:27,0,173,05120,1,496799,30
2023-11-22 21:36:28,0,172,0480,1,505232,30
2023-11-22 21:36:29,0,171,05010,1,507232,30
2023-11-22 21:36:30,0,170,03440,1,503952,30
2023-11-22 21:36:31,0,169,04430,1,517788,30
2023-11-22 21:36:32,0,168,03660,1,513983,30
2023-11-22 21:36:33,0,167,00310,1,511004,30
2023-11-22 21:36:34,0,165,97390,1,51037,30
2023-11-22 21:36:35,0,164,96140,1,498639,30
2023-11-22 21:36:36,0,163,94830,1,504134,30
2023-11-22 21:36:37,0,162,9430,1,512535,30
2023-11-22 21:36:38,0,161,93210,1,510296,30
2023-11-22 21:36:39,0,160,93680,1,512702,30
2023-11-22 21:36:40,0,159,90410,1,508955,30
2023-11-22 21:36:41,0,158,87040,1,508955,30
2023-11-22 21:36:42,0,157,86020,1,507171,30
2023-11-22 21:36:43,0,156,83040,1,517463,30
2023-11-22 21:36:44,0,155,82650,1,521955,30
2023-11-22 21:36:45,0,154,82170,1,513271,30
2023-11-22 21:36:46,0,153,80260,1,513271,30
2023-11-22 21:36:47,0,152,79530,1,50484,30
2023-11-22 21:36:48,0,151,78650,1,516865,30
2023-11-22 21:36:49,0,150,76910,1,516865,30
2023-11-22 21:36:50,0,149,76040,1,509806,30
2023-11-22 21:36:51,0,148,75020,1,507235,30
2023-11-22 21:36:52,0,147,74080,1,504464,30
2023-11-22 21:36:53,0,146,73230,1,514792,30
2023-11-22 21:36:54,0,145,71180,1,50736,30
2023-11-22 21:36:55,0,144,70250,1,489901,30
2023-11-22 21:36:56,0,143,68890,1,489901,30
2023-11-22 21:36:57,0,142,68040,1,495103,30
2023-11-22 21:36:58,0,141,67220,1,504021,30
2023-11-22 21:36:59,0,140,66640,1,511708,30
2023-11-22 21:37:00,0,139,66820,1,511708,30
2023-11-22 21:37:01,0,138,66010,1,492937,30
2023-11-22 21:37:02,0,137,65310,1,50169,30
2023-11-22 21:37:03,0,136,64840,1,501768,30
2023-11-22 21:37:04,0,135,6530,1,501768,30
2023-11-22 21:37:05,0,134,63750,1,503402,30
2023-11-22 21:37:06,0,133,62310,1,503402,30
2023-11-22 21:37:07,0,132,61810,1,502532,30
2023-11-22 21:37:08,0,131,59620,1,50283,30
2023-11-22 21:37:09,0,130,59550,1,505297,30
2023-11-22 21:37:10,0,129,59060,1,506749,30
2023-11-22 21:37:11,0,128,57350,1,505166,30
2023-11-22 21:37:12,0,127,57010,1,505166,30
2023-11-22 21:37:13,0,126,56080,1,505166,30
2023-11-22 21:37:14,0,125,55320,1,504803,30
2023-11-22 21:37:15,0,124,55260,1,509123,30
2023-11-22 21:37:16,0,123,53570,1,516166,30
2023-11-22 21:37:17,0,122,52950,1,516166,30
2023-11-22 21:37:18,0,121,53650,1,516166,30
2023-11-22 21:37:19,0,120,50830,1,508382,30
2023-11-22 21:37:20,0,119,49350,1,508382,30
2023-11-22 21:37:21,0,118,49410,1,503881,30
2023-11-22 21:37:22,0,117,47260,1,481455,30
2023-11-22 21:37:24,0,116,4420,1,503751,30
2023-11-22 21:37:25,0,115,3710,1,482924,30
2023-11-22 21:37:26,0,114,35770,1,477851,30
2023-11-22 21:37:27,0,113,34980,1,494503,30
2023-11-22 21:37:28,0,112,33990,1,435786,30
2023-11-22 21:37:29,0,111,31880,1,469495,30
2023-11-22 21:37:30,0,110,30760,1,469495,30
2023-11-22 21:37:31,0,109,28330,1,469495,30
2023-11-22 21:37:32,0,108,26450,1,504894,30
2023-11-22 21:37:33,0,107,25090,1,51681,30
2023-11-22 21:37:34,0,106,25330,1,509855,30
2023-11-22 21:37:35,0,105,22220,1,510077,30
2023-11-22 21:37:36,0,104,20910,1,510077,30
2023-11-22 21:37:37,0,103,20520,1,516391,30
2023-11-22 21:37:38,0,102,19660,1,517816,30
2023-11-22 21:37:39,0,101,20070,1,518552,30
2023-11-22 21:37:40,0,100,1710,1,514166,30
2023-11-22 21:37:41,0,99,151570,1,51044,30
2023-11-22 21:37:42,0,98,148060,1,505643,30
2023-11-22 21:37:43,0,97,145970,1,503371,30
2023-11-22 21:37:44,0,96,131730,1,51445,30
2023-11-22 21:37:45,0,95,120610,1,493065,30
2023-11-22 21:37:46,0,94,119260,1,507799,30
2023-11-22 21:37:47,0,93,118290,1,504495,30
2023-11-22 21:37:48,0,92,097640,1,510554,30
2023-11-22 21:37:49,0,91,092380,1,507411,30
2023-11-22 21:37:50,0,90,086650,1,482134,30
2023-11-22 21:37:51,0,89,092360,1,482134,30
2023-11-22 21:37:52,0,88,076220,1,482134,30
2023-11-22 21:37:53,0,87,066240,1,499127,30
2023-11-22 21:37:54,0,86,061370,1,505499,30
2023-11-22 21:37:55,0,85,044560,1,509967,30
2023-11-22 21:37:56,0,84,053630,1,496316,30
2023-11-22 21:37:57,0,83,035050,1,500363,30
2023-11-22 21:37:58,0,82,007080,1,505873,30
2023-11-22 21:37:59,0,80,995360,1,49348,30
2023-11-22 21:38:00,0,79,990010,1,497381,30
2023-11-22 21:38:01,0,78,961610,1,504542,30
2023-11-22 21:38:02,0,77,942610,1,512442,30
2023-11-22 21:38:03,0,76,946790,1,512442,30
2023-11-22 21:38:04,0,75,922520,1,514385,30
2023-11-22 21:38:05,0,74,933470,1,514387,30
2023-11-22 21:38:06,0,73,909770,1,50996,30
