Timestamp
Score
Time
Life
Score/10s
Life/10s
Reflexes
Ball Speed
Ball Spawn Rate
Life Spawn Rate
2023-11-22 00:13:45,4,8,10,0,0,0,10,4,8
2023-11-22 00:15:00,0,227,4505,1,0,1,1,50405,30,5,5
2023-11-22 00:15:01,0,226,4421,1,0,1,1,502796,30,5,5
2023-11-22 00:15:02,0,225,4409,1,0,1,1,504827,30,5,5
2023-11-22 00:15:03,0,224,4318,1,0,1,1,50743,30,5,5
2023-11-22 00:15:04,0,223,4167,1,0,1,1,50743,30,5,5
2023-11-22 00:15:05,0,222,4076,1,0,1,1,50743,30,5,5
2023-11-22 00:15:06,0,221,4072,1,0,1,1,505714,30,5,5
2023-11-22 00:15:07,0,220,4111,1,0,1,1,505371,30,5,5
2023-11-22 00:15:08,0,219,3839,1,0,1,1,505474,30,5,5
2023-11-22 00:15:09,0,218,388,1,0,1,1,502158,30,5,5
2023-11-22 00:15:10,0,217,3855,1,0,1,1,506113,30,5,5
2023-11-22 00:15:11,0,216,3833,1,0,1,1,506085,30,5,5
2023-11-22 00:15:12,0,215,3691,1,0,1,1,503912,30,5,5
2023-11-22 00:15:13,0,214,3682,1,0,1,1,503912,30,5,5
2023-11-22 00:15:14,0,213,3624,1,0,1,1,508582,30,5,5
2023-11-22 00:15:15,0,212,3672,1,0,1,1,506794,30,5,5
2023-11-22 00:15:16,0,211,3669,1,0,1,1,507478,30,5,5
2023-11-22 00:15:17,0,210,3608,1,0,1,1,507478,30,5,5
2023-11-22 00:15:18,0,209,3504,1,0,1,1,505612,30,5,5
2023-11-22 00:15:19,0,208,3483,1,0,1,1,505612,30,5,5
2023-11-22 00:15:20,0,207,3466,1,0,1,1,509558,30,5,5
2023-11-22 00:15:21,0,206,3495,1,0,1,1,509393,30,5,5
2023-11-22 00:15:22,0,205,3267,1,0,1,1,507291,30,5,5
2023-11-22 00:15:23,0,204,3232,1,0,1,1,505033,30,5,5
2023-11-22 00:15:24,0,203,3306,1,0,1,1,503657,30,5,5
2023-11-22 00:15:25,0,202,3228,1,0,1,1,509692,30,5,5
2023-11-22 00:15:26,0,201,3321,1,0,1,1,509692,30,5,5
2023-11-22 00:15:27,0,200,3017,1,0,1,1,506849,30,5,5
2023-11-22 00:15:28,0,199,3078,1,0,1,1,506358,30,5,5
2023-11-22 00:15:29,0,198,3124,1,0,1,1,506358,30,5,5
2023-11-22 00:15:30,0,197,2876,1,0,1,1,508455,30,5,5
2023-11-22 00:15:31,0,196,2878,1,0,1,1,509225,30,5,5
2023-11-22 00:15:32,0,195,2866,1,0,1,1,509225,30,5,5
2023-11-22 00:15:33,0,194,2658,1,0,1,1,505089,30,5,5
2023-11-22 00:15:34,0,193,2674,1,0,1,1,504189,30,5,5
2023-11-22 00:15:35,0,192,2499,1,0,1,1,501076,30,5,5
2023-11-22 00:15:36,0,191,2474,1,0,1,1,507374,30,5,5
2023-11-22 00:15:37,0,190,239,1,0,1,1,511262,30,5,5
2023-11-22 00:15:38,0,189,225,1,0,1,1,504046,30,5,5
2023-11-22 00:15:39,0,188,2241,1,0,1,1,504046,30,5,5
2023-11-22 00:15:40,0,187,2235,1,0,1,1,502744,30,5,5
2023-11-22 00:15:41,0,186,2206,1,0,1,1,502744,30,5,5
2023-11-22 00:15:42,0,185,2117,1,0,1,1,508565,30,5,5
2023-11-22 00:15:43,0,184,2059,1,0,1,1,508565,30,5,5
2023-11-22 00:15:44,0,183,202,1,0,1,1,507376,30,5,5
2023-11-22 00:15:45,0,182,2017,1,0,1,1,506427,30,5,5
2023-11-22 00:15:46,0,181,1881,1,0,1,1,505149,30,5,5
2023-11-22 00:15:47,0,180,1881,1,0,1,1,501453,30,5,5
2023-11-22 00:15:48,0,179,183,1,0,1,1,506995,30,5,5
2023-11-22 00:15:49,0,178,1872,1,0,1,1,506995,30,5,5
2023-11-22 00:15:50,0,177,1637,1,0,1,1,506362,30,5,5
2023-11-22 00:15:51,0,176,1766,1,0,1,1,503525,30,5,5
2023-11-22 00:15:52,0,175,1619,1,0,1,1,504566,30,5,5
2023-11-22 00:15:53,0,174,1618,1,0,1,1,504566,30,5,5
2023-11-22 00:15:54,0,173,1453,1,0,1,1,504599,30,5,5
2023-11-22 00:15:55,0,172,1344,1,0,1,1,506938,30,5,5
2023-11-22 00:15:56,0,171,1269,1,0,1,1,513414,30,5,5
2023-11-22 00:15:57,0,170,1239,1,0,1,1,499955,30,5,5
2023-11-22 00:15:58,0,169,1268,1,0,1,1,501099,30,5,5
2023-11-22 00:15:59,0,168,1252,1,0,1,1,502915,30,5,5
2023-11-22 00:16:00,0,167,1049,1,0,1,1,506676,30,5,5
2023-11-22 00:16:01,0,166,113,1,0,1,1,507168,30,5,5
2023-11-22 00:16:02,0,165,0861,1,0,1,1,504332,30,5,5
2023-11-22 00:16:03,0,164,0802,1,0,1,1,502044,30,5,5
2023-11-22 00:16:04,0,163,0834,1,0,1,1,506439,30,5,5
2023-11-22 00:16:05,0,162,0657,1,0,1,1,507355,30,5,5
2023-11-22 00:16:06,0,161,0647,1,0,1,1,504616,30,5,5
2023-11-22 00:16:07,0,160,05,1,0,1,1,50568,30,5,5
2023-11-22 00:16:08,0,159,0479,1,0,1,1,501763,30,5,5
2023-11-22 00:16:09,0,158,0489,1,0,1,1,503415,30,5,5
2023-11-22 00:16:10,0,157,0481,1,0,1,1,504367,30,5,5
2023-11-22 00:16:11,0,156,0544,1,0,1,1,504367,30,5,5
2023-11-22 00:16:12,0,155,0406,1,0,1,1,502656,30,5,5
2023-11-22 00:16:13,0,154,0258,1,0,1,1,508797,30,5,5
2023-11-22 00:16:14,0,153,0236,1,0,1,1,508797,30,5,5
2023-11-22 00:16:15,0,152,027,1,0,1,1,5045,30,5,5
2023-11-22 00:16:16,0,151,0238,1,0,1,1,506149,30,5,5
2023-11-22 00:16:17,0,150,0099,1,0,1,1,503479,30,5,5
2023-11-22 00:16:18,0,149,0091,1,0,1,1,501167,30,5,5
2023-11-22 00:16:19,0,148,0078,1,0,1,1,502262,30,5,5
2023-11-22 00:16:20,0,146,985,1,0,1,1,504045,30,5,5
2023-11-22 00:16:21,0,145,9802,1,0,1,1,505227,30,5,5
2023-11-22 00:16:22,0,144,9717,1,0,1,1,504521,30,5,5
2023-11-22 00:16:23,0,143,9672,1,0,1,1,504521,30,5,5
2023-11-22 00:16:24,0,142,9716,1,0,1,1,506749,30,5,5
2023-11-22 00:16:25,0,141,9437,1,0,1,1,506749,30,5,5
2023-11-22 00:16:26,0,140,9503,1,0,1,1,506597,30,5,5
2023-11-22 00:16:27,0,139,9463,1,0,1,1,504384,30,5,5
2023-11-22 00:16:28,0,138,9221,1,0,1,1,504634,30,5,5
2023-11-22 00:16:29,0,137,9262,1,0,1,1,504634,30,5,5
2023-11-22 00:16:30,0,136,9208,1,0,1,1,503484,30,5,5
2023-11-22 00:16:31,0,135,9029,1,0,1,1,50471,30,5,5
2023-11-22 00:16:32,0,134,9035,1,0,1,1,50215,30,5,5
2023-11-22 00:16:33,0,133,9099,1,0,1,1,500961,30,5,5
2023-11-22 00:16:34,0,132,8823,1,0,1,1,502369,30,5,5
2023-11-22 00:16:35,0,131,8902,1,0,1,1,501531,30,5,5
2023-11-22 00:16:36,0,130,8653,1,0,1,1,503679,30,5,5
2023-11-22 00:16:37,0,129,8637,1,0,1,1,502144,30,5,5
2023-11-22 00:16:38,0,128,8527,1,0,1,1,50272,30,5,5
2023-11-22 00:16:39,0,127,8426,1,0,1,1,50272,30,5,5
2023-11-22 00:16:40,0,126,8422,1,0,1,1,50393,30,5,5
2023-11-22 00:16:41,0,125,8425,1,0,1,1,501337,30,5,5
2023-11-22 00:16:42,0,124,8376,1,0,1,1,504972,30,5,5
2023-11-22 00:16:43,0,123,827,1,0,1,1,504972,30,5,5
2023-11-22 00:16:44,0,122,8215,1,0,1,1,510306,30,5,5
2023-11-22 00:16:45,0,121,8216,1,0,1,1,505588,30,5,5
2023-11-22 00:16:46,0,120,8209,1,0,1,1,506082,30,5,5
2023-11-22 00:16:47,0,119,8389,1,0,1,1,505101,30,5,5
2023-11-22 00:16:48,0,118,8226,1,0,1,1,505101,30,5,5
2023-11-22 00:16:49,0,117,8102,1,0,1,1,505129,30,5,5
